,user_id,age,gender,phone_usage_hours,laptop_usage_hours,tablet_usage_hours,tv_usage_hours,social_media_hours,work_related_hours,entertainment_hours,gaming_hours,sleep_duration_hours,sleep_quality,mood_rating,stress_level,physical_activity_hours_per_week,location_type,mental_health_score,uses_wellness_apps,eats_healthy,caffeine_intake_mg_per_day,weekly_anxiety_score,weekly_depression_score,mindfulness_minutes_per_day,anxiety_cat,y
496,user_497,37,Male,3.6,3.9,0.4,3.0,3.3,4.0,1.3,1.4,9.1,3,9,4,4.5,Urban,79,0,1,133.9,8,20,12.2,Medium anxiety score,0
497,user_498,52,Other,5.0,2.5,1.4,0.1,0.9,1.4,1.6,1.9,6.5,1,1,9,4.0,Suburban,67,0,1,100.6,11,8,13.5,Medium anxiety score,1
498,user_499,57,Male,3.2,0.5,1.3,3.6,2.1,0.8,0.9,2.0,6.0,3,3,1,4.0,Urban,44,0,1,173.5,4,2,8.7,Low anxiety score,0
499,user_500,13,Male,3.5,3.6,1.1,0.6,0.5,2.6,2.6,1.4,7.0,6,6,5,3.0,Suburban,70,0,0,201.2,4,3,20.2,Low anxiety score,0
500,user_501,28,Male,2.3,1.3,1.5,0.6,2.9,2.0,3.5,3.3,7.3,4,4,1,3.2,Urban,43,0,1,73.8,12,1,25.5,Medium anxiety score,1
501,user_502,51,Female,3.0,1.5,1.6,2.3,1.4,2.3,4.0,2.5,6.5,1,10,6,4.7,Suburban,65,1,0,150.5,15,13,0.0,High anxiety score,1
502,user_503,17,Female,0.5,3.0,0.8,2.0,1.0,2.9,1.6,0.0,5.4,6,10,10,4.1,Urban,71,0,0,227.8,18,19,16.5,High anxiety score,1
503,user_504,34,Female,1.9,3.4,0.5,3.1,2.3,1.8,2.0,0.0,6.7,1,1,9,6.5,Rural,46,0,0,75.9,8,7,2.8,Medium anxiety score,0
504,user_505,41,Male,1.8,1.0,1.0,0.0,0.0,4.2,3.2,0.1,7.2,8,9,2,3.3,Urban,50,1,0,223.9,15,17,0.0,High anxiety score,1
505,user_506,15,Female,4.0,3.5,1.3,2.0,0.4,2.3,3.7,2.4,6.9,3,7,4,4.3,Suburban,66,1,1,107.0,18,3,14.1,High anxiety score,1
506,user_507,24,Male,2.1,2.9,0.9,1.5,2.4,1.5,3.0,0.0,4.3,3,7,8,2.8,Suburban,70,1,0,119.6,3,7,14.2,Low anxiety score,0
507,user_508,38,Female,2.2,1.2,0.5,0.4,3.2,2.7,4.1,1.7,4.6,1,1,3,3.6,Urban,54,1,0,180.9,14,6,15.4,High anxiety score,1
508,user_509,28,Female,2.4,1.8,1.1,3.4,2.5,1.9,4.9,1.0,7.4,3,9,7,3.8,Urban,71,0,0,175.4,8,14,13.0,Medium anxiety score,0
509,user_510,63,Male,1.9,3.5,0.0,1.7,2.2,2.1,0.4,0.0,6.1,7,8,7,2.1,Suburban,39,0,0,144.7,15,14,17.0,High anxiety score,1
510,user_511,49,Male,3.4,0.4,0.8,1.4,4.9,0.7,4.5,1.4,9.2,10,10,2,1.7,Suburban,35,1,1,111.8,5,1,5.2,Low anxiety score,0
511,user_512,34,Male,3.6,3.4,1.4,2.0,2.6,0.8,4.2,1.0,8.1,8,5,10,4.3,Urban,79,1,1,87.8,7,3,12.1,Medium anxiety score,0
512,user_513,41,Male,4.2,2.8,1.5,0.0,0.7,3.3,1.0,2.0,5.0,8,4,4,3.9,Urban,50,0,1,146.2,0,8,15.6,Low anxiety score,0
513,user_514,26,Male,4.0,2.5,0.0,0.3,3.2,0.5,3.1,0.0,7.7,3,1,1,5.9,Urban,26,0,1,139.4,13,6,20.8,Medium anxiety score,1
514,user_515,40,Female,3.8,2.1,0.9,1.2,1.2,1.9,3.3,0.3,8.4,5,9,8,3.0,Urban,37,1,1,110.4,3,17,10.4,Low anxiety score,0
515,user_516,17,Female,2.5,4.0,1.3,1.8,1.2,2.4,1.1,0.3,6.0,1,8,10,1.0,Urban,27,0,0,137.2,9,11,8.3,Medium anxiety score,0
516,user_517,59,Male,2.4,4.1,0.4,2.8,0.3,3.7,2.4,1.9,6.4,9,2,10,3.0,Rural,46,1,1,162.5,15,13,9.6,High anxiety score,1
517,user_518,61,Male,1.7,1.4,0.8,0.6,1.5,1.4,2.7,1.0,5.8,8,4,9,4.5,Urban,33,0,0,203.5,3,6,0.5,Low anxiety score,0
518,user_519,42,Male,1.7,2.6,1.6,0.4,0.5,2.9,1.1,2.4,5.2,10,4,1,0.0,Urban,37,1,1,159.8,1,5,16.2,Low anxiety score,0
519,user_520,58,Female,3.3,3.9,0.8,2.0,2.7,1.9,2.1,0.8,8.4,2,7,7,3.0,Suburban,20,0,1,141.2,1,18,0.0,Low anxiety score,0
520,user_521,64,Male,1.9,1.2,1.8,1.4,1.8,0.0,4.3,1.4,3.4,10,3,1,4.3,Rural,75,0,1,108.8,12,20,13.1,Medium anxiety score,1
521,user_522,17,Female,5.2,2.2,0.6,0.0,0.4,2.1,4.7,2.7,5.7,1,8,1,3.5,Urban,50,0,0,112.8,10,18,10.7,Medium anxiety score,0
522,user_523,24,Female,2.9,3.0,1.7,0.6,1.9,1.9,1.1,0.0,6.0,4,7,9,2.3,Urban,39,0,0,160.8,9,14,0.0,Medium anxiety score,0
523,user_524,28,Female,5.3,0.0,1.0,1.3,3.2,2.5,0.0,1.2,6.7,9,10,10,0.6,Urban,25,0,1,163.5,5,18,0.0,Low anxiety score,0
524,user_525,38,Female,3.9,2.8,0.6,1.3,3.9,1.2,4.1,1.2,5.0,8,4,10,3.0,Urban,64,1,1,138.9,6,11,3.2,Low anxiety score,0
525,user_526,38,Male,1.8,0.9,1.7,1.6,0.0,1.4,4.9,0.4,8.1,3,9,6,0.6,Urban,20,0,1,195.3,14,1,7.2,High anxiety score,1
526,user_527,60,Other,2.9,2.2,0.4,0.2,1.1,3.4,3.6,1.0,4.3,10,6,1,4.3,Urban,38,0,0,152.9,19,10,21.8,High anxiety score,1
527,user_528,33,Male,0.5,3.1,0.6,1.4,0.5,1.6,2.1,1.5,4.3,6,3,7,3.1,Urban,58,0,1,125.7,18,12,9.1,High anxiety score,1
528,user_529,51,Male,3.3,0.0,1.2,2.4,2.4,0.0,1.1,0.5,6.6,9,7,3,6.0,Rural,74,1,1,117.2,2,3,14.4,Low anxiety score,0
529,user_530,48,Female,2.0,2.8,1.0,0.0,0.3,2.6,3.3,1.3,5.0,10,6,10,0.0,Urban,46,0,0,113.9,20,0,20.1,High anxiety score,1
530,user_531,45,Other,1.3,4.0,1.1,1.2,3.3,3.0,3.9,0.2,6.7,8,8,4,2.3,Urban,75,1,1,174.0,13,20,18.6,Medium anxiety score,1
531,user_532,42,Female,5.3,1.5,0.8,0.0,3.4,3.0,1.6,1.0,5.6,10,5,4,4.5,Rural,35,1,0,118.9,1,1,9.9,Low anxiety score,0
532,user_533,49,Male,4.5,2.6,0.4,1.5,3.0,1.3,2.9,2.1,7.5,5,6,8,5.3,Suburban,33,1,1,155.4,15,13,4.4,High anxiety score,1
533,user_534,35,Male,4.5,3.3,0.7,0.0,1.1,2.0,1.9,2.2,5.4,9,1,1,4.5,Urban,53,0,0,107.6,16,17,14.0,High anxiety score,1
534,user_535,22,Other,4.2,0.4,1.7,1.6,1.2,2.6,3.5,2.4,8.2,9,8,8,1.1,Urban,26,1,1,141.6,14,10,4.5,High anxiety score,1
535,user_536,17,Male,1.1,2.8,0.3,3.1,1.5,3.2,0.0,1.1,7.3,3,1,9,2.0,Rural,39,0,0,147.3,12,10,24.5,Medium anxiety score,1
536,user_537,48,Female,2.4,3.0,1.8,0.5,3.3,2.6,3.0,0.9,5.6,8,3,7,0.0,Urban,50,0,0,268.2,11,18,16.9,Medium anxiety score,1
537,user_538,46,Female,2.5,2.6,1.2,0.7,0.0,2.9,2.0,1.9,7.2,4,2,1,3.1,Suburban,41,0,1,84.6,6,16,11.7,Low anxiety score,0
538,user_539,64,Female,0.4,2.1,0.7,1.0,2.5,1.1,4.9,2.4,6.7,10,6,7,5.3,Rural,39,0,0,190.4,19,16,14.1,High anxiety score,1
539,user_540,43,Male,2.2,1.0,0.0,1.8,0.9,0.0,2.9,1.3,7.4,7,8,6,3.0,Urban,34,0,1,111.6,19,1,11.4,High anxiety score,1
540,user_541,22,Female,2.2,3.4,0.1,0.5,1.5,3.3,3.4,2.7,7.2,10,8,5,4.2,Suburban,44,0,0,217.5,2,1,7.1,Low anxiety score,0
541,user_542,31,Male,3.2,2.0,0.8,1.1,2.9,0.9,1.3,1.9,6.9,8,7,5,4.1,Rural,65,0,1,115.1,8,12,14.0,Medium anxiety score,0
542,user_543,44,Female,6.8,1.1,0.8,0.8,0.2,1.8,2.2,0.6,6.6,7,7,1,2.4,Suburban,20,0,0,201.8,2,5,8.1,Low anxiety score,0
543,user_544,13,Female,3.0,1.7,1.1,1.0,1.7,3.0,3.0,0.8,7.6,5,8,6,0.0,Urban,36,1,1,161.1,15,14,25.5,High anxiety score,1
544,user_545,17,Female,3.2,2.4,1.9,1.8,1.8,2.0,2.0,1.2,7.9,1,5,4,5.7,Rural,35,1,0,83.4,19,10,4.5,High anxiety score,1
545,user_546,57,Male,2.6,0.4,1.3,2.1,2.0,2.8,2.2,0.0,6.7,8,3,1,3.9,Suburban,56,1,0,159.9,2,3,14.1,Low anxiety score,0
546,user_547,16,Other,4.1,2.0,0.9,0.0,1.9,4.9,2.8,0.6,7.2,5,2,8,0.5,Suburban,40,0,1,175.8,7,18,3.7,Medium anxiety score,0
547,user_548,28,Male,1.4,1.6,1.6,1.8,2.7,2.7,0.3,2.3,7.6,3,3,8,3.7,Suburban,46,0,0,179.4,7,13,3.7,Medium anxiety score,0
549,user_550,28,Male,2.8,0.1,1.8,3.0,2.4,0.3,3.5,1.5,8.2,3,7,7,5.6,Urban,74,0,0,279.7,4,16,13.3,Low anxiety score,0
550,user_551,14,Female,2.4,2.9,0.7,0.9,2.4,2.8,2.0,1.7,7.7,9,1,3,3.9,Urban,78,1,1,247.3,12,7,5.7,Medium anxiety score,1
551,user_552,61,Female,4.5,3.4,0.4,1.6,2.3,2.1,5.5,0.9,6.0,2,7,8,4.0,Urban,54,0,1,166.9,14,12,18.7,High anxiety score,1
552,user_553,40,Female,1.7,0.2,0.0,1.5,2.6,0.3,2.6,0.6,4.9,10,6,7,3.4,Urban,43,1,1,84.2,6,14,13.3,Low anxiety score,0
553,user_554,44,Male,4.1,0.3,0.9,2.0,2.3,3.4,0.1,1.8,7.2,1,10,5,1.5,Urban,71,1,0,100.0,11,10,11.2,Medium anxiety score,1
554,user_555,39,Male,5.1,3.8,0.4,1.1,1.9,2.9,3.1,0.8,7.2,2,2,5,4.3,Urban,70,1,0,136.6,2,15,0.0,Low anxiety score,0
555,user_556,32,Female,2.6,1.1,0.4,1.2,0.5,2.0,1.1,2.9,6.0,2,10,9,2.9,Rural,21,1,0,145.2,7,17,14.7,Medium anxiety score,0
557,user_558,24,Female,4.0,0.2,0.1,2.6,4.0,3.2,1.8,1.6,8.5,1,9,6,1.7,Suburban,65,0,1,122.8,1,11,0.0,Low anxiety score,0
558,user_559,62,Other,4.0,2.2,1.1,1.8,1.6,0.8,1.9,0.1,7.0,10,2,2,0.7,Urban,79,1,1,50.6,7,5,13.4,Medium anxiety score,0
559,user_560,47,Other,5.0,2.0,1.0,1.8,2.5,3.4,3.8,0.0,5.1,8,4,5,5.1,Urban,74,0,1,41.9,17,5,0.0,High anxiety score,1
560,user_561,45,Other,5.4,1.8,1.0,2.7,1.3,2.3,0.4,1.6,6.3,2,9,4,7.0,Urban,72,0,0,150.7,11,3,0.0,Medium anxiety score,1
561,user_562,45,Female,3.4,2.5,1.7,2.7,1.1,4.3,1.9,0.7,4.9,6,9,10,5.3,Suburban,44,0,0,229.6,17,0,20.4,High anxiety score,1
562,user_563,63,Male,4.2,2.5,0.6,2.5,2.1,3.1,1.7,2.2,7.3,5,1,3,3.8,Suburban,38,1,0,72.4,18,16,5.5,High anxiety score,1
564,user_565,49,Female,1.3,1.0,0.1,3.1,3.9,2.5,2.0,0.7,6.3,10,2,7,2.4,Suburban,32,1,0,149.1,15,16,2.3,High anxiety score,1
565,user_566,24,Female,0.4,3.0,1.3,0.5,3.7,0.6,1.3,2.3,6.4,1,2,4,1.0,Suburban,48,0,1,168.6,16,4,4.2,High anxiety score,1
566,user_567,15,Male,2.9,2.6,1.7,1.2,2.6,1.4,2.8,1.6,6.2,6,8,9,6.9,Suburban,51,1,0,124.5,8,8,19.2,Medium anxiety score,0
567,user_568,13,Male,0.4,2.1,0.0,2.2,0.9,2.3,1.3,0.2,6.2,6,8,9,0.9,Urban,25,1,0,95.0,9,5,0.0,Medium anxiety score,0
568,user_569,45,Male,2.5,2.6,1.0,0.6,3.2,0.4,1.5,1.2,5.6,3,10,7,1.3,Suburban,75,0,1,182.3,18,11,0.0,High anxiety score,1
569,user_570,52,Female,3.5,2.8,0.9,1.1,0.0,2.6,3.4,3.1,8.2,8,8,5,2.6,Suburban,28,0,0,52.3,11,16,17.8,Medium anxiety score,1
570,user_571,22,Female,2.6,1.2,1.0,1.7,2.5,1.1,0.0,1.3,6.7,9,4,9,2.8,Urban,71,1,0,169.1,0,20,6.4,Low anxiety score,0
571,user_572,55,Female,2.8,2.6,1.9,1.3,3.3,1.5,1.2,1.1,6.6,3,8,7,4.2,Urban,20,1,1,109.8,16,9,11.8,High anxiety score,1
572,user_573,56,Male,1.5,1.4,0.6,1.6,2.2,2.9,1.6,2.1,6.2,9,7,9,1.7,Urban,43,1,0,162.2,2,1,6.1,Low anxiety score,0
573,user_574,41,Other,4.2,2.8,0.4,0.4,4.0,1.3,4.5,1.6,5.0,8,8,3,0.0,Urban,29,0,0,208.0,6,0,26.2,Low anxiety score,0
574,user_575,25,Female,1.4,1.8,1.0,1.5,0.3,2.6,3.1,2.6,7.6,5,1,9,2.5,Urban,54,0,1,115.7,19,12,0.0,High anxiety score,1
575,user_576,24,Male,0.0,2.6,1.6,1.6,3.9,2.2,2.5,2.0,8.2,6,3,1,2.7,Urban,25,0,1,131.6,8,20,12.3,Medium anxiety score,0
576,user_577,43,Male,2.7,1.6,1.3,3.1,1.8,0.7,2.4,2.1,4.3,1,10,5,2.5,Urban,67,0,0,129.0,4,20,22.0,Low anxiety score,0
577,user_578,58,Male,4.4,2.7,1.0,1.2,3.7,3.1,2.7,2.7,7.4,5,6,2,2.5,Urban,39,1,1,263.9,8,0,7.0,Medium anxiety score,0
578,user_579,14,Male,3.1,1.0,0.9,0.8,3.2,3.1,2.8,0.9,7.5,10,1,1,2.3,Urban,57,0,1,143.6,18,12,4.0,High anxiety score,1
579,user_580,63,Other,1.3,2.0,0.0,2.2,3.8,3.2,2.7,0.6,8.0,10,4,3,0.4,Suburban,31,1,0,141.3,10,2,16.1,Medium anxiety score,0
580,user_581,62,Female,3.2,3.0,1.3,0.0,3.2,4.3,5.0,0.0,7.9,7,9,7,5.9,Rural,22,0,1,145.7,13,10,18.0,Medium anxiety score,1
581,user_582,47,Female,3.7,2.5,1.4,1.2,2.8,1.5,1.9,1.0,9.7,1,7,3,5.8,Urban,74,0,1,217.6,13,15,3.6,Medium anxiety score,1
582,user_583,35,Male,3.1,2.2,0.7,1.0,3.6,0.0,2.7,0.0,7.0,10,1,10,5.8,Urban,37,1,0,118.1,7,17,21.7,Medium anxiety score,0
583,user_584,29,Male,2.6,3.8,0.8,1.8,2.1,1.2,2.5,1.6,7.7,9,6,10,0.6,Rural,40,1,1,189.7,19,1,10.4,High anxiety score,1
584,user_585,38,Female,3.7,3.0,0.5,2.7,2.7,3.2,3.7,0.6,6.5,7,6,9,3.8,Suburban,54,1,1,112.0,0,17,14.1,Low anxiety score,0
585,user_586,20,Male,0.4,2.9,1.4,3.1,2.0,1.9,1.6,2.2,5.5,4,2,3,2.2,Urban,56,1,1,108.6,3,16,21.9,Low anxiety score,0
586,user_587,41,Female,1.7,2.7,0.8,1.7,1.2,0.3,2.0,2.0,7.3,4,6,6,2.0,Suburban,38,1,1,168.5,15,0,16.2,High anxiety score,1
587,user_588,38,Other,1.0,2.8,0.9,0.0,2.6,0.0,0.5,0.8,7.7,10,10,2,1.1,Urban,44,1,0,210.7,0,3,10.0,Low anxiety score,0
588,user_589,22,Female,5.0,3.7,1.3,1.0,2.2,3.7,3.8,2.2,6.9,7,2,8,8.1,Suburban,75,1,0,130.8,18,19,4.6,High anxiety score,1
589,user_590,38,Female,4.1,1.6,1.2,1.1,3.5,2.7,0.5,1.3,4.5,6,8,10,2.5,Rural,37,1,1,130.5,2,20,31.7,Low anxiety score,0
590,user_591,46,Male,3.3,3.0,1.3,1.9,1.8,1.4,3.2,0.0,4.8,3,7,5,1.2,Urban,59,0,1,181.8,1,5,3.7,Low anxiety score,0
591,user_592,63,Male,0.8,2.4,1.1,1.6,1.1,4.3,4.7,0.2,7.4,9,6,2,3.3,Rural,49,1,0,149.5,16,20,12.5,High anxiety score,1
593,user_594,19,Female,5.1,1.9,1.1,0.2,2.1,3.2,2.1,1.2,6.9,2,6,3,2.7,Suburban,61,0,1,68.7,2,19,14.5,Low anxiety score,0
594,user_595,16,Male,3.9,2.2,1.2,0.6,1.1,2.9,2.1,0.8,7.1,10,9,5,3.5,Urban,70,0,1,98.0,6,8,27.0,Low anxiety score,0
595,user_596,62,Male,2.9,1.1,1.3,0.6,3.7,2.6,2.4,0.7,6.4,2,9,9,5.0,Suburban,61,1,0,146.9,9,20,10.4,Medium anxiety score,0
596,user_597,57,Female,3.9,2.9,0.4,3.1,3.1,3.0,3.7,1.8,6.2,1,10,1,1.1,Urban,72,0,1,172.6,2,3,9.2,Low anxiety score,0
597,user_598,23,Male,3.4,1.9,0.7,0.7,4.2,4.4,2.3,2.0,6.3,5,10,2,3.4,Suburban,53,1,0,143.5,7,4,22.4,Medium anxiety score,0
598,user_599,41,Male,4.4,2.1,0.9,1.6,1.6,0.8,2.1,0.6,7.2,10,2,5,1.7,Suburban,29,0,0,154.0,4,7,8.9,Low anxiety score,0
599,user_600,48,Male,4.4,3.4,1.2,2.5,1.4,1.6,3.9,0.4,7.1,6,3,4,1.5,Urban,41,0,0,180.3,9,16,17.0,Medium anxiety score,0
600,user_601,37,Other,2.7,2.1,1.8,1.7,0.7,1.9,2.6,2.5,5.5,3,10,1,6.5,Urban,69,0,1,87.7,11,14,11.6,Medium anxiety score,1
602,user_603,48,Female,2.4,1.5,1.4,2.5,1.5,3.9,1.4,0.3,5.2,5,10,9,0.9,Suburban,22,1,0,202.5,5,12,15.8,Low anxiety score,0
603,user_604,22,Male,3.8,0.9,0.7,1.9,2.8,2.5,3.8,2.1,7.1,4,9,1,2.8,Rural,68,1,0,132.9,7,14,6.8,Medium anxiety score,0
604,user_605,49,Other,2.5,1.7,1.7,0.0,0.9,2.8,2.8,1.1,5.9,9,6,8,0.6,Urban,75,0,1,106.9,17,3,0.0,High anxiety score,1
605,user_606,21,Female,1.9,0.0,2.0,2.7,1.2,2.8,2.5,1.9,7.4,3,1,9,2.6,Suburban,75,0,0,194.4,5,17,0.0,Low anxiety score,0
606,user_607,36,Male,3.0,2.9,0.1,2.4,4.0,2.0,0.1,0.2,6.2,5,7,2,1.6,Urban,68,0,1,236.0,8,18,0.0,Medium anxiety score,0
607,user_608,47,Female,4.7,1.0,0.8,1.8,0.0,1.5,3.7,0.0,7.9,7,1,1,4.0,Urban,47,1,1,157.4,15,7,9.3,High anxiety score,1
608,user_609,61,Male,3.2,1.4,0.0,3.1,2.6,2.1,1.0,0.1,8.1,7,5,6,6.9,Urban,41,0,0,105.9,10,13,0.0,Medium anxiety score,0
609,user_610,47,Female,2.6,2.7,0.2,2.4,0.5,1.2,3.1,0.6,7.0,6,9,7,2.7,Suburban,31,0,0,149.7,1,0,8.7,Low anxiety score,0
610,user_611,60,Female,3.5,2.1,0.2,2.6,1.0,1.2,1.5,1.0,6.1,9,10,2,1.7,Rural,68,0,1,108.3,16,1,11.1,High anxiety score,1
611,user_612,48,Male,3.1,1.6,1.3,2.5,3.7,2.4,1.1,2.1,5.4,7,10,5,3.2,Rural,32,1,1,185.8,12,19,16.8,Medium anxiety score,1
612,user_613,30,Other,0.1,0.0,1.2,2.3,2.1,1.4,3.7,0.4,7.7,4,9,5,6.0,Urban,60,0,0,147.5,6,2,14.0,Low anxiety score,0
614,user_615,51,Female,3.6,2.7,1.3,0.0,2.8,2.2,2.6,3.3,6.6,9,6,1,2.7,Urban,66,1,0,160.0,12,2,13.3,Medium anxiety score,1
615,user_616,44,Male,3.0,4.1,1.2,2.4,1.0,3.6,5.0,1.3,6.0,6,3,10,0.0,Urban,38,1,0,117.2,9,5,7.4,Medium anxiety score,0
616,user_617,36,Male,4.6,1.4,1.1,2.7,2.7,0.5,5.0,1.5,4.8,1,9,8,2.9,Urban,60,1,1,84.2,3,7,9.2,Low anxiety score,0
617,user_618,35,Male,4.8,0.5,0.9,0.8,3.4,0.5,2.2,1.9,7.8,9,3,5,4.6,Urban,36,0,1,188.0,10,11,3.2,Medium anxiety score,0
618,user_619,44,Female,4.2,3.0,1.5,0.4,2.6,1.9,0.8,0.7,6.4,7,2,3,4.9,Suburban,66,0,0,164.9,8,4,11.8,Medium anxiety score,0
619,user_620,49,Male,1.7,1.8,1.0,1.8,1.7,3.1,4.3,1.2,4.3,6,8,9,5.6,Urban,53,1,0,126.5,15,4,0.0,High anxiety score,1
620,user_621,24,Female,1.8,2.6,1.3,0.0,0.0,1.4,0.8,0.9,6.3,6,3,3,1.7,Rural,23,0,1,213.6,16,2,18.5,High anxiety score,1
621,user_622,61,Female,4.7,3.6,0.0,1.3,1.6,1.9,3.1,1.1,4.9,4,5,7,2.2,Urban,58,0,1,112.7,4,3,2.3,Low anxiety score,0
622,user_623,25,Male,0.2,2.4,0.4,1.1,4.0,3.2,2.2,2.0,7.2,4,6,10,2.8,Urban,27,0,1,128.3,4,4,11.2,Low anxiety score,0
623,user_624,35,Female,2.8,2.2,1.5,1.3,1.0,1.5,2.6,1.9,7.0,3,10,7,4.4,Urban,52,1,0,168.8,5,2,12.6,Low anxiety score,0
624,user_625,37,Male,3.7,2.2,0.7,3.4,1.5,1.1,4.1,0.0,8.3,8,10,10,2.5,Urban,20,1,1,193.8,1,9,19.3,Low anxiety score,0
625,user_626,47,Other,0.4,0.4,0.3,0.9,3.2,2.9,1.5,2.2,4.7,8,1,8,4.0,Rural,24,1,0,169.5,13,18,0.0,Medium anxiety score,1
626,user_627,53,Female,3.4,3.1,1.3,1.6,2.7,0.4,1.7,0.9,8.2,2,7,10,2.2,Urban,51,0,1,121.8,10,7,7.4,Medium anxiety score,0
627,user_628,42,Male,4.4,3.2,1.0,0.2,0.4,1.6,3.5,1.6,7.1,5,7,8,1.6,Rural,59,0,0,138.1,18,5,14.4,High anxiety score,1
628,user_629,29,Male,0.8,2.5,0.8,2.4,1.9,2.1,4.8,0.8,4.9,9,5,4,5.2,Urban,20,0,1,117.7,10,6,24.0,Medium anxiety score,0
629,user_630,61,Male,5.5,0.5,1.8,1.3,3.7,2.6,5.7,1.1,8.7,9,9,1,3.6,Urban,54,0,1,133.4,19,5,9.7,High anxiety score,1
630,user_631,32,Female,1.5,1.9,1.7,2.7,2.0,3.0,0.6,2.5,6.4,7,2,4,4.5,Urban,41,1,1,137.2,5,12,5.2,Low anxiety score,0
631,user_632,60,Female,3.9,3.4,0.9,0.0,3.7,3.2,2.0,1.5,5.1,4,5,6,2.6,Rural,48,0,1,170.8,12,12,26.2,Medium anxiety score,1
632,user_633,37,Female,2.9,1.4,1.4,1.4,3.8,1.6,1.2,2.5,7.7,4,2,10,4.6,Urban,36,0,1,115.5,18,20,16.4,High anxiety score,1
633,user_634,34,Male,3.1,3.2,0.0,1.6,0.9,3.1,3.6,1.1,5.2,10,2,6,0.9,Rural,49,1,1,197.7,2,4,21.0,Low anxiety score,0
634,user_635,25,Male,1.1,2.1,1.5,2.4,1.6,2.6,2.6,1.0,7.9,7,9,6,1.2,Urban,54,0,1,148.8,15,5,0.3,High anxiety score,1
635,user_636,31,Male,4.9,2.7,0.5,0.9,2.8,2.9,3.6,1.2,6.3,3,7,7,4.9,Urban,79,1,1,107.3,8,9,14.2,Medium anxiety score,0
636,user_637,61,Female,3.5,1.6,0.3,2.3,0.2,1.2,2.0,0.0,6.1,3,4,1,2.9,Suburban,20,1,1,169.4,2,19,1.3,Low anxiety score,0
637,user_638,48,Female,5.4,2.1,0.1,1.0,1.7,2.8,3.4,0.0,4.9,5,8,10,2.5,Urban,23,1,0,144.0,18,9,0.0,High anxiety score,1
638,user_639,24,Male,1.1,2.4,0.1,1.6,2.7,1.8,2.3,0.4,5.2,6,4,1,1.2,Urban,28,1,0,127.0,14,15,14.7,High anxiety score,1
639,user_640,53,Male,2.7,0.9,1.5,2.4,1.3,2.1,2.7,2.2,6.7,8,1,7,4.6,Rural,64,1,0,220.8,12,17,15.2,Medium anxiety score,1
640,user_641,31,Female,3.3,2.3,1.3,0.6,2.7,2.2,1.8,2.6,4.5,1,10,4,6.7,Urban,51,0,0,134.4,16,2,6.1,High anxiety score,1
641,user_642,24,Female,3.1,0.0,0.6,2.2,1.3,4.5,4.3,0.0,7.3,7,3,6,4.2,Suburban,24,0,1,127.3,20,0,21.5,High anxiety score,1
642,user_643,21,Female,4.0,1.4,1.4,1.8,1.3,0.9,0.9,2.5,5.9,8,10,6,2.1,Urban,33,1,0,198.0,7,20,7.0,Medium anxiety score,0
643,user_644,19,Female,2.7,2.5,0.7,1.2,2.9,3.4,2.4,0.6,6.0,5,1,9,5.8,Urban,70,0,0,175.2,13,2,7.8,Medium anxiety score,1
644,user_645,40,Male,6.2,3.1,1.2,0.8,3.6,3.7,4.8,0.0,7.2,10,2,2,3.7,Urban,45,1,0,187.7,8,18,9.7,Medium anxiety score,0
645,user_646,26,Male,3.1,2.5,0.8,0.0,1.1,3.0,4.2,2.3,6.3,2,2,4,2.1,Suburban,42,0,0,121.8,2,0,8.1,Low anxiety score,0
646,user_647,43,Female,0.0,0.6,0.9,1.4,0.5,1.4,1.4,0.7,8.0,4,7,4,5.6,Suburban,65,0,0,161.0,8,7,20.2,Medium anxiety score,0
647,user_648,64,Female,3.1,3.0,0.5,1.2,2.0,4.0,1.5,3.8,4.0,6,4,7,2.6,Suburban,41,0,1,80.7,11,18,1.7,Medium anxiety score,1
648,user_649,31,Male,4.9,0.9,0.6,2.1,2.6,1.6,3.2,0.5,7.5,9,10,1,0.1,Suburban,46,0,1,54.0,14,3,4.0,High anxiety score,1
649,user_650,59,Female,1.6,2.6,1.3,2.0,1.1,2.8,3.3,0.9,6.5,2,9,5,2.4,Urban,44,1,0,120.5,16,15,0.5,High anxiety score,1
650,user_651,28,Female,1.5,0.9,1.4,2.6,4.0,2.1,4.0,0.2,5.7,4,2,4,4.1,Urban,55,1,0,152.4,8,4,25.1,Medium anxiety score,0
651,user_652,17,Female,1.7,1.2,0.8,2.6,1.8,1.6,0.7,1.3,7.6,10,9,2,1.6,Urban,23,0,1,270.0,7,4,7.4,Medium anxiety score,0
653,user_654,24,Male,2.3,2.1,2.2,2.0,4.3,4.3,1.3,0.0,6.8,8,10,9,5.9,Suburban,28,0,0,95.3,8,5,7.7,Medium anxiety score,0
655,user_656,64,Female,5.3,2.5,1.2,2.3,1.1,4.4,0.4,0.8,5.7,2,7,9,2.0,Urban,61,1,0,82.7,17,14,15.3,High anxiety score,1
656,user_657,33,Female,0.0,2.0,0.4,3.1,3.3,1.8,1.1,0.3,5.2,6,8,7,1.7,Suburban,69,0,0,226.7,10,9,5.4,Medium anxiety score,0
657,user_658,48,Female,2.4,0.5,1.6,2.0,1.2,2.1,4.7,0.0,8.1,6,9,10,0.3,Rural,76,0,0,124.7,13,9,6.8,Medium anxiety score,1
